Job name,Company Name,Job description,Key skills
"Senior Developer / Lead - c# ,  ASP.net ,  OOAD ,  Winforms",infinity business solutions pvt ltd,"c#, asp.net, ooad, winforms, sql, server, soa, ado.net, senior, software, engineer, ajax, jquery, memory, management, oops, javascript, visual, studio, software, implementation, ","c# , asp.net , ooad , winforms , sql server , soa , ado.net , senior software engineer , ajax , jquery , memory management , oops , javascript , visual studio , software implementation "
Quantitative Developer  /  Financial Modeling c#  /  C    ( Pune ),infinity business solutions pvt ltd,"Quant, Monte, Carlo, simulations, Risk, Derivatives, Financial, Modeling, frm, risk, management, credit, risk, derivatives, valuation, market, risk, financial, risk, ","Quant , Monte Carlo simulations , Risk , Derivatives , Financial Modeling , frm , risk management , credit risk , derivatives , valuation , market risk , financial risk "
ASP.net / c# WebForms  /  MVC Web Developer,dots & coms baroda,"css, bootstrap, ajax, jquery, sql, database, mysql, html, mvc, c, entity, framework, javascript, angularjs, forms, ","css , bootstrap , ajax , jquery , sql , database , mysql , html , mvc , c , entity framework , javascript , angularjs , forms "
"Team Lead - .net  ( c# ,  MVC  /  Core )",Teknorix Systems,"microsoft, technologies, .net, technologies, sql, postgresql, devops, microsoft, .net, asp.net, mvc, mongodb, javascript, .net, software, developer, ","microsoft technologies , .net technologies , sql , postgresql , devops , microsoft .net , asp.net , mvc , mongodb , javascript , .net , software developer "
Database Developer,great techno tycoon,"c#, database, database, developer, sql, ","c# , database , database developer , sql "
Software Developer,DigiVed Business Solutions Pvt. Ltd.,"c#, asp.net, software, developer, vb.net, ","c# , asp.net , software developer , vb.net "
c# .net Developers,"MCL
     (More Jobs)","c#, .net, ASP, .net, c#, dotnet, C-Sharp, ASP, .net, Web, Development, Desktop, Applications, ","c# , .net , ASP .net c# , dotnet , C-Sharp , ASP .net Web Development , Desktop Applications "
".net Developers , Software Developer , Senior Software Developer","MCL
     (More Jobs)","c#, .net, ",c# .net 
"Senior Devops Engineer  (  devops ,  c / c   or c# )",nec software solutions  ( india )  pvt ltd,"devops, c, /, c, c#, scripting, source, control, docker, git, linux, debugging, technical, skills, github, windows, ","devops , c / c , c# , scripting , source control , docker , git , linux , debugging , technical skills , github , windows "
.net Developer,d-sys data solutions pvt. ltd,"c#, database, .net, developer, asp.net, sql, ","c# , database , .net developer , asp.net , sql "
"Professional ,  Software Development Engineering  ( React ,  c# .net Full-stack Developer )",fiserv ce pvt ltd,"react, .net, redux, rest, api, css, bootstrap, jquery, react.js, git, cloud, computing, c#, mobile, javascript, c#, .net, ","react , .net , redux , rest api , css , bootstrap , jquery , react.js , git , cloud computing , c# , mobile , javascript , c# .net "
"""MVC DEVELOPER""","Techno wise
     (More Jobs)","MVC, ASP, .net, c#, ASP.net, ","MVC , ASP .net c# , ASP.net "
.net Developer,Headhuntersinc consultancy Private Limited,"c#, .net, developer, asp.net, .net, mvc, software, developer, sql, ","c# , .net developer , asp.net , .net , mvc , software developer , sql "
.net Developer,Headhuntersinc consultancy Private Limited,"c#, .net, developer, asp.net, .net, mvc, software, developer, ","c# , .net developer , asp.net , .net , mvc , software developer "
.net Developer,Headhuntersinc consultancy Private Limited,"c#, .net, developer, asp.net, .net, mvc, software, developer, ","c# , .net developer , asp.net , .net , mvc , software developer "
Sharepoint Developer,BUSISOL SOURCING INDIA PVT. LTD,"c#, sharepoint, developer, sharepoint, designer, sharepoint, microsoft, .net, asp.net, .net, ","c# , sharepoint developer , sharepoint designer , sharepoint , microsoft .net , asp.net , .net "
.net Developer,ShriShail Technologies Pvt. Ltd.,"c#, .net, developer, oops, asp.net, dbms, mvc, sql, ","c# , .net developer , oops , asp.net , dbms , mvc , sql "
Full Stack .net Developer - J47624,"SAMPOORNA CONSULTANTS PVT LTD
     (More Jobs)","c#, .net, ","c# , .net "
Require talented DOT NET | ASP NET Developer,"Seabit Technologies Pvt Ltd
     (More Jobs)","ASP, .net, c#, c#, SQL, Server, ","ASP .net c# , c# , SQL Server "
Senior Dot Net Developer,destiny hr group services,"c#, .net, developer, database, asp.net, .net, mvc, software, developer, ","c# , .net developer , database , asp.net , .net , mvc , software developer "
Senior .net Developer,US Techdata Solutions,"c#, .net, developer, team, player, oops, asp.net, .net, ","c# , .net developer , team player , oops , asp.net , .net "
Dotnet Developer,"Sapphire Software Solutions
     (More Jobs)","ASP.net, c#, MVC, Angular, Javascript, Microsoft, .net, Framework, ., SQL, ","ASP.net , c# , MVC , Angular , Javascript , Microsoft .net Framework , . , SQL "
Dotnet Developer - Angular - J47664,"SAMPOORNA CONSULTANTS PVT LTD
     (More Jobs)",".net, c#, Angular, .net, CORE, ",".net , c# , Angular , .net CORE "
Sr. Software Developer,"HAPPY SQUARE OUTSOURCING SERVICES PVT.LTD.
     (More Jobs)","MVC, c#, MS, SQL, WCF, WPF, ","MVC , c# , MS SQL , WCF , WPF "
.net Developer,Limitless Mobility Solutions Private Limited,"c#, rest, .net, developer, javascript, infrastructure, asp.net, ssrs, .net, mvc, ","c# , rest , .net developer , javascript , infrastructure , asp.net , ssrs , .net , mvc "
"Software Developer , Remote","Haarik.com
     (More Jobs)","c#, SQL, Server, Crystal, Report, Sql, ","c# , SQL Server , Crystal Report , Sql "
Senior .net Developer,"Uplers Solutions Private Limited
     (More Jobs)",".net, ASP, .net, c#, ASP, .net, c#, SQL, ASP, .net, Web, Development, RaectJS, ",".net , ASP .net c# , ASP .net c# SQL , ASP .net Web Development , RaectJS "
ASP.net Developer for Mumbai,"2COMS Consulting Pvt Ltd
     (More Jobs)",".net, Developer, Dotnet, Developer, ASP.net, Developer, Webforms, c#, MYSQL, ",".net Developer , Dotnet Developer , ASP.net Developer , Webforms , c# , MYSQL "
Full Stack Developer  ( Backend ),"HAPPY SQUARE OUTSOURCING SERVICES PVT.LTD.
     (More Jobs)","ASP.net, MVC, c#, Azure, DevOps, Azure, PaaS, React, ASP.net, MVC, c#, DevOps, ASP.net, MVC, c#, Azure, DevOps, Azure, PaaS, Azure, DevOps, React, ","ASP.net , MVC , c# , Azure DevOps , Azure PaaS , React , ASP.net , MVC , c# , DevOps , ASP.net , MVC , c# , Azure DevOps , Azure PaaS , Azure DevOps , React "
Dot Net Developer,"HAPPY SQUARE OUTSOURCING SERVICES PVT.LTD.
     (More Jobs)","ASP.net, c#, .net, SQL, Jquery, Ajax, SQL, Server, ADO.net, ","ASP.net , c# .net , SQL , Jquery , Ajax , SQL Server , ADO.net "
Team Lead - .net Developer,"RK HR Management Private Limited
     (More Jobs)","c#, MVC, SQL, linq, Entity, Framework, Asp.net, WCF, ","c# , MVC , SQL , linq , Entity Framework , Asp.net , WCF "
Team lead - Asp.net Developer,"RK HR Management Private Limited
     (More Jobs)","ASP, .net, c#, SQL, MVC, WCF, SQL, Linq, Javascript, ","ASP .net c# SQL , MVC , WCF , SQL , Linq , Javascript "
fullstack developer,"HAPPY SQUARE OUTSOURCING SERVICES PVT.LTD.
     (More Jobs)","Asp.net, Core, c#, MVC, Entity, Framework, Angular, 8, Azure, DevOps, CICD, Angular, 8, TypeScript, c#, NET, MVC, HTML, CSS, JavaScript, Bootstrap, Azure, cloud, Azure, App, Service, Azure, Azure, SQL, Azure, DevOps, Azure, DevOps, GitHub, CD, Git, ","Asp.net , Core , c# , MVC , Entity Framework , Angular 8 , Azure DevOps , CICD , Angular 8 , TypeScript , c# , NET , MVC , HTML , CSS , JavaScript , Bootstrap , Azure cloud , Azure App Service , Azure , Azure SQL , Azure DevOps , Azure DevOps , GitHub , CD , Git "
Dot Net Developer,"HAPPY SQUARE OUTSOURCING SERVICES PVT.LTD.
     (More Jobs)","ASP.net, c#, .net, SQL, Jquery, Ajax, SQL, Server, ","ASP.net , c# .net , SQL , Jquery , Ajax , SQL Server "
.net Developer,"NEXPRO247
     (More Jobs)","c#, asp.net, .net, SQL, Web, Api, SQL, Server, ASP, .net, MVC, dot, net, Core, ","c# , asp.net , .net , SQL , Web Api , SQL Server , ASP , .net MVC , dot net , Core "
Nielsen - Senior Backend Engineer  ( c# / .net Core /  Python ),Nielsen Research Ltd. Co.,"c#, .net, core, python, microservices, database, design, and, optimization., orchestration, storage, docker, security, git, devops, debugging, software, engineer, software, engineering, api, access, management, nosql, c#, .net, infrastructure, ","c# , .net core , python , microservices , database design and optimization. , orchestration , storage , docker , security , git , devops , debugging , software engineer , software engineering , api , access management , nosql , c# .net , infrastructure "
